query_id,query_text,doc_id,path,title,score,snippet,sources,relevance
q001,axum routing handlers,axum/axum-core/README.md#chunk-0000,axum/axum-core/README.md,chunk 0,32.224812,axum core build status https github com tokio rs axum actions workflows ci yml badge svg branch main https github com tokio rs axum core actions workflows ci yml crates io https img shields io crates v axum core https crates io crates axum core documentation https docs rs axum core badge svg https docs rs axum core core types and traits for axum more information about this crate can be found in the crate documentation docs safety this crate uses forbid unsafe code to ensure everything is implemented in 100 safe rust minimum supported rust version axum core s msrv is 1 75 getting help you re also welcome to ask in the discord channel chat or open an issue with your question contributing thanks for your help improving the project we are so happy to have you we have a contributing guide contributing to help you get involved in the axum project license this project is licensed under the mit license license contribution unless you explicitly state otherwise any contribution intentionally submitted for inclusion in axum by you shall be licensed as mit without any additional terms or conditions axum https crates io crates axum chat https discord,chunk:bm25|chunk:bm25plus|chunk:pivoted|chunk:tfidf,
q001,axum routing handlers,axum/axum-core/README.md#chunk-0001,axum/axum-core/README.md,chunk 1,1.000000,gg tokio contributing contributing md docs https docs rs axum core license axum core license issue https github com tokio rs axum issues new,chunk:boolean,
q001,axum routing handlers,axum/axum-extra/README.md#chunk-0000,axum/axum-extra/README.md,chunk 0,32.224812,axum extra build status https github com tokio rs axum actions workflows ci yml badge svg branch main https github com tokio rs axum extra actions workflows ci yml crates io https img shields io crates v axum extra https crates io crates axum extra documentation https docs rs axum extra badge svg https docs rs axum extra extra utilities for axum more information about this crate can be found in the crate documentation docs safety this crate uses forbid unsafe code to ensure everything is implemented in 100 safe rust minimum supported rust version axum extra s msrv is 1 75 getting help you re also welcome to ask in the discord channel chat or open an issue with your question contributing thanks for your help improving the project we are so happy to have you we have a contributing guide contributing to help you get involved in the axum project license this project is licensed under the mit license license contribution unless you explicitly state otherwise any contribution intentionally submitted for inclusion in axum by you shall be licensed as mit without any additional terms or conditions axum https crates io crates axum chat https discord gg tokio,chunk:bm25|chunk:bm25plus|chunk:pivoted|chunk:tfidf,
q001,axum routing handlers,axum/axum-extra/README.md#chunk-0001,axum/axum-extra/README.md,chunk 1,23.679619,contributing contributing md docs https docs rs axum extra license axum extra license issue https github com tokio rs axum issues new,chunk:bm25|chunk:bm25plus|chunk:boolean|chunk:pivoted,
q001,axum routing handlers,axum/axum-macros/README.md#chunk-0000,axum/axum-macros/README.md,chunk 0,32.224812,axum macros build status https github com tokio rs axum actions workflows ci yml badge svg branch main https github com tokio rs axum macros actions workflows ci yml crates io https img shields io crates v axum macros https crates io crates axum macros documentation https docs rs axum macros badge svg https docs rs axum macros macros for axum more information about this crate can be found in the crate documentation docs safety this crate uses forbid unsafe code to ensure everything is implemented in 100 safe rust minimum supported rust version axum macros s msrv is 1 75 getting help you re also welcome to ask in the discord channel chat or open an issue with your question contributing thanks for your help improving the project we are so happy to have you we have a contributing guide contributing to help you get involved in the axum project license this project is licensed under the mit license license contribution unless you explicitly state otherwise any contribution intentionally submitted for inclusion in axum by you shall be licensed as mit without any additional terms or conditions axum https crates io crates axum chat https discord gg tokio contributing,chunk:bm25|chunk:bm25plus|chunk:pivoted|chunk:tfidf,
q001,axum routing handlers,axum/axum-macros/README.md#chunk-0001,axum/axum-macros/README.md,chunk 1,23.702869,contributing md docs https docs rs axum macros license axum macros license issue https github com tokio rs axum issues new,chunk:bm25|chunk:bm25plus|chunk:boolean|chunk:pivoted,
q001,axum routing handlers,axum/axum/README.md#chunk-0000,axum/axum/README.md,chunk 0,48.259289,axum axum is an http routing and request handling library that focuses on ergonomics and modularity build status https github com tokio rs axum actions workflows ci yml badge svg branch main https github com tokio rs axum actions workflows ci yml crates io https img shields io crates v axum https crates io crates axum documentation https docs rs axum badge svg docs more information about this crate can be found in the crate documentation docs high level features route requests to handlers with a macro free api declaratively parse requests using extractors simple and predictable error handling model generate responses with minimal boilerplate take full advantage of the tower and tower http ecosystem of middleware services and utilities in particular the last point is what sets axum apart from other libraries frameworks axum doesn t have its own middleware system but instead uses tower service this means axum gets timeouts tracing compression authorization and more for free it also enables you to share middleware with applications written using hyper or tonic breaking changes we are currently working towards axum 0 9 so the main branch contains breaking changes see the 0 8 x branch for what s released,chunk:bm25|chunk:bm25plus|chunk:boolean|chunk:pivoted|chunk:tfidf,
q001,axum routing handlers,axum/axum/README.md#chunk-0001,axum/axum/README.md,chunk 1,32.857071,to crates io 0 8 x https github com tokio rs axum tree v0 8 x usage example rust use axum routing get post http statuscode json router use serde deserialize serialize tokio main async fn main initialize tracing tracing subscriber fmt init build our application with a route let app router new get goes to root route get root post users goes to create user route users post create user run our app with hyper listening globally on port 3000 let listener tokio net tcplistener bind 0 0 0 0 3000 await unwrap axum serve listener app await basic handler that responds with a static string async fn root static str hello world async fn create user this argument tells axum to parse the request body as json into a createuser type json payload json createuser statuscode json user insert your application logic here let user user id 1337 username payload username this will be converted into a json response with a status code of 201 created statuscode created json user the input to our create user handler derive deserialize struct createuser username string the output to our create user handler derive serialize struct user id u64 username string,chunk:bm25|chunk:bm25plus|chunk:boolean|chunk:pivoted|chunk:tfidf,
q001,axum routing handlers,axum/axum/README.md#chunk-0002,axum/axum/README.md,chunk 2,25.235682,you can find this example readme example as well as other example projects in the example directory examples see the crate documentation docs for way more examples performance axum is a relatively thin layer on top of hyper and adds very little overhead so axum s performance is comparable to hyper you can find benchmarks here https github com programatik29 rust web benchmarks and here https web frameworks benchmark netlify app result l rust safety this crate uses forbid unsafe code to ensure everything is implemented in 100 safe rust minimum supported rust version axum s msrv is 1 80 examples the examples folder contains various examples of how to use axum the docs also provide lots of code snippets and examples for full fledged examples check out community maintained showcases or tutorials getting help in the axum s repo we also have a number of examples examples showing how to put everything together community maintained showcases and tutorials also demonstrate how to use axum for real world applications you re also welcome to ask in the discord channel chat or open a discussion with your question community projects see here ecosystem for a list of community maintained crates and,chunk:pivoted|chunk:tfidf,
q001,axum routing handlers,axum/axum/README.md#chunk-0003,axum/axum/README.md,chunk 3,30.714754,projects built with axum contributing thanks for your help improving the project we are so happy to have you we have a contributing guide contributing to help you get involved in the axum project license this project is licensed under the mit license license contribution unless you explicitly state otherwise any contribution intentionally submitted for inclusion in axum by you shall be licensed as mit without any additional terms or conditions readme example https github com tokio rs axum tree main examples readme examples https github com tokio rs axum tree main examples docs https docs rs axum tower https crates io crates tower hyper https crates io crates hyper tower http https crates io crates tower http tonic https crates io crates tonic contributing https github com tokio rs axum blob main contributing md chat https discord gg tokio discussion https github com tokio rs axum discussions new category q a tower service https docs rs tower latest tower trait service html ecosystem https github com tokio rs axum blob main ecosystem md showcases https github com tokio rs axum blob main ecosystem md project showcase tutorials https github com tokio rs axum blob main ecosystem md tutorials license,chunk:bm25|chunk:bm25plus|chunk:pivoted|chunk:tfidf,
